security,ts_code,symbol,name,cnspell,market,list_date
000925.XSHE,000925.SZ,000925,众合科技,ZHKJ,主板,19990611
000926.XSHE,000926.SZ,000926,福星股份,FXGF,主板,19990618
000927.XSHE,000927.SZ,000927,中国铁物,ZGTW,主板,19990727
000928.XSHE,000928.SZ,000928,中钢国际,ZGGJ,主板,19990312
000929.XSHE,000929.SZ,000929,*ST兰黄,STLH,主板,19990623
000930.XSHE,000930.SZ,000930,中粮科技,ZLKJ,主板,19990712
000931.XSHE,000931.SZ,000931,中 关 村,ZGC,主板,19990712
000932.XSHE,000932.SZ,000932,华菱钢铁,HLGT,主板,19990803
000933.XSHE,000933.SZ,000933,神火股份,SHGF,主板,19990831
000935.XSHE,000935.SZ,000935,四川双马,SCSM,主板,19990824
000936.XSHE,000936.SZ,000936,华西股份,HXGF,主板,19990810
000937.XSHE,000937.SZ,000937,冀中能源,JZNY,主板,19990909
000938.XSHE,000938.SZ,000938,紫光股份,ZGGF,主板,19991104
000948.XSHE,000948.SZ,000948,南天信息,NTXX,主板,19991014
000949.XSHE,000949.SZ,000949,新乡化纤,XXHX,主板,19991021
000950.XSHE,000950.SZ,000950,重药控股,ZYKG,主板,19990916
000951.XSHE,000951.SZ,000951,中国重汽,ZGZQ,主板,19991125
000952.XSHE,000952.SZ,000952,广济药业,GJYY,主板,19991112
